,anlegg_nr,anlegg_navn,etat,opprettet,nedlagt,type,kno,adresse,postnr,regine,lon_utl,lat_utl,lon_anl,lat_anl,status
7,0805AL30,Oklungen RA,,,,RENSEANLEGG,,,,016.32,,,,,
17,0301AL32,Kikutstua,,,,RENSEANLEGG,0301,,,006.D22,,,10.655419004,60.0764072934,
18,0904AL05,Drottningborg RA,,,,RENSEANLEGG,0904,,,019.215,,,8.64583401506,58.3461616012,
19,1046AL11,Nye Tonstad renseanlegg,,,,RENSEANLEGG,1046,,,026.D42,,,6.69751439439,58.6624481332,
20,1122AL14,Dirdal/Gilja,,,,RENSEANLEGG,1122,,,030.2A1,,,6.1872571034,58.8330215981,
21,1133AL27,Hjelmeland Vågen Renseanlegg,,,,RENSEANLEGG,1133,,,033.11,,,4.51125611554,0.0,
22,1134AL23,Vanvik slamavskiljar,,,,RENSEANLEGG,1134,,,036.32,,,6.36447175872,59.5440893937,
23,1134AL24,Nesflaten reinseanlegg,,,,RENSEANLEGG,1134,,,036.B90,,,6.81626918749,59.6481239833,
24,1134AL26,Hålandsosen Erfjord,,,,RENSEANLEGG,1134,,,035.712,,,6.23943170822,59.3463905178,
25,1216AL16,Lavunes - Førde Nord,,,,RENSEANLEGG,1216,,,039.9,,,5.4728486689,59.6191059591,
26,1228AL20,Seljestad avløpsrenseanlegg,,,,RENSEANLEGG,1228,,,048.EZ,,,6.61831481422,59.9051238314,
27,1228AL21,Håra avløpsrenseanlegg,,,,RENSEANLEGG,1228,,,036.E4A0,,,6.77225917733,59.8098585953,
28,1231AL37,NÅ,,,,RENSEANLEGG,1231,,,048.21,,,6.57423698125,60.2600003732,
29,1232AL15,Maurset RA,,,,RENSEANLEGG,1232,,,050.C2,,,7.33207913225,60.410912974,
30,1430AL13,Perhaugen renseanlegg,,,,RENSEANLEGG,1430,,,083.2Z,,,5.75200116301,61.3850438361,
31,1515AL14,Tjørvåg,,,,RENSEANLEGG,1515,,,096.310,,,5.73898420361,62.2927787348,
32,1525AL25,Stranda Avløpsrenseanlegg,,,,RENSEANLEGG,1525,,,098.31,,,0.0,0.0,
33,1535AL16,Fiksdal Pekaia,,,,RENSEANLEGG,1535,,,102.410,,,6.85687492918,62.6212381016,
34,1535AL17,Reitbukta Sør Tomrefjord,,,,RENSEANLEGG,1535,,,102.430,,,6.92833826219,62.5817634919,
35,1535AL18,Tresfjord Osholmen Nord,,,,RENSEANLEGG,1535,,,102.61,,,7.12804948005,62.5270249832,
36,1535AL20,"Daugstad, Sætre",,,,RENSEANLEGG,1535,,,102.620,,,7.14713179237,62.5577166759,
37,1535AL21,"Vikebukt, Bakneset",,,,RENSEANLEGG,1535,,,102.620,,,7.14948638032,62.6281393447,
38,1535AL22,Fiksdal Nord,,,,RENSEANLEGG,1535,,,102.410,,,6.85197089793,62.6240722965,
39,1804AL32,Laukeng,,,,RENSEANLEGG,1804,,,162.5,,,14.6127086486,67.2214839046,
40,1804AL33,Hellevik,,,,RENSEANLEGG,1804,,,162.3,,,14.5666202133,67.235933828,
41,0128AL04,Rudskogen,,,,RENSEANLEGG,,,,002.AD0,,,,,
42,0815AL51,Kirkesund renseanlegg,,,,RENSEANLEGG,,,,017.221,,,,,
43,1805AL18,Framneslia,,,,RENSEANLEGG,,,,174.42,,,,,
44,0101AL06,Kornsjø,,,,RENSEANLEGG,101,,,001.1J,11.66896,58.9351,,,
45,0101AL07,Remmendalen,,,,RENSEANLEGG,101,,,001.31Z,11.36011,59.1208,,,
46,0104AL01,Kambo,,,,RENSEANLEGG,104,,,003.20,10.6865,59.47445,,,
47,0105AL00,Alvim Renseanlegg,,,,RENSEANLEGG,105,,,002.A4,11.07577,59.273,,,
48,0105AL16,Isefoss Renseanlegg,,,,RENSEANLEGG,105,,,002.A5A,11.21795,59.3003,,,
49,0105AL20,Stenbekk Renseanlegg,,,,RENSEANLEGG,105,,,002.A2C,11.08921,59.3204,,,
50,0106AL00,Renseanlegg Øra,,,,RENSEANLEGG,106,,,002.12,10.96781,59.18309,,,
51,0106AL10,Lilleng Brukssenter,,,,RENSEANLEGG,106,,,002.2B,10.82278,59.22549,,,
52,0106AL20,Kvernhuset,,,,RENSEANLEGG,106,,,002.2A,10.93642,59.23765,,,
53,0118AL02,Skodsberg,,,,RENSEANLEGG,118,,,001.C5,11.69379,59.20863,,,
54,0119AL06,Bommen,,,,RENSEANLEGG,119,,,001.E32,11.65314,59.47452,,,
55,0119AL07,Grensen,,,,RENSEANLEGG,119,,,314.4B,11.74406,59.48521,,,
56,0121AL01,Rømskog,,,,RENSEANLEGG,121,,,314.B,11.8022,59.7387,,,
57,0124AL01,AHSA Interkommunale r,,,,RENSEANLEGG,124,,,002.B3,11.14841,59.56198,,,
58,0124AL02,Solbergfoss,,,,RENSEANLEGG,124,,,002.B7,11.16375,59.63538,,,
59,0125AL01,Mysen Renseanlegg,,,,RENSEANLEGG,125,,,002.B1A0,11.3162,59.55641,,,
60,0127AL14,Hoel (Meieribyen),,,,RENSEANLEGG,127,,,002.A8,11.16677,59.46196,,,
61,0128AL01,Bodal,,,,RENSEANLEGG,128,,,002.AB0,11.3385,59.41856,,,
62,0128AL02,Kirkeng,,,,RENSEANLEGG,128,,,002.ABA,11.42242,59.35953,,,
63,0128AL03,Østbygda,,,,RENSEANLEGG,128,,,002.AD0,11.46967,59.3802,,,
64,0135AL01,Hestevold renseanlegg,,,,RENSEANLEGG,135,,,003.120,10.79192,59.31496,,,
65,0136AL00,Fuglevik renseanlegg,,,,RENSEANLEGG,136,,,003.17Z,10.66176,59.38405,,,
66,0137AL19,Kasper,,,,RENSEANLEGG,137,,,004.A0,10.80761,59.511,,,
67,0137AL20,Svinndal,,,,RENSEANLEGG,137,,,003.B1C,11.00075,59.43003,,,
68,0138AL01,Elvestad,,,,RENSEANLEGG,138,,,003.D,10.9522,59.62403,,,
69,0138AL02,Ringvoll,,,,RENSEANLEGG,138,,,004.B,10.83943,59.56277,,,
70,0211AL47,Søndre Follo Renseanl,,,,RENSEANLEGG,211,,,004.2,10.67892,59.58862,,,
71,0213AL42,Skotbu,,,,RENSEANLEGG,213,,,003.CZ,10.94549,59.66486,,,
72,0214AL23,Nordre Follo RA,,,,RENSEANLEGG,214,,,005.4B,10.78331,59.7534,,,
73,0215AL35,Frogn,,,,RENSEANLEGG,215,,,004.3,10.64256,59.64207,,,
74,0215AL36,Blylaget,,,,RENSEANLEGG,215,,,005.22,10.70792,59.77596,,,
75,0216AL34,Buhrestua,,,,RENSEANLEGG,216,,,005.22,10.67129,59.86265,,,
76,0216AL37,Fagerstrand,,,,RENSEANLEGG,216,,,005.21,10.58838,59.73435,,,
77,0219AL00,Sollihøgda,,,,RENSEANLEGG,219,,,008.B,10.36904,59.95714,,,
78,0220AL01,Sentralrenseanlegg Ve,,,,RENSEANLEGG,220,,,009.21,10.49842,59.7911,,,
79,0221AL49,Løken Renseanlegg,,,,RENSEANLEGG,221,,,001.H1,11.4851,59.79452,,,
80,0221AL50,Setskog RA,,,,RENSEANLEGG,221,,,001.FC12,11.71239,59.8273,,,
81,0221AL51,Bjørkelangen sentralr,,,,RENSEANLEGG,221,,,001.J4,11.55247,59.86397,,,
82,0226AL67,Rånåsfoss,,,,RENSEANLEGG,226,,,002.D5,11.34228,60.03102,,,
83,0227AL53,Håpets dør,,,,RENSEANLEGG,227,,,002.D21,11.17947,59.9594,,,
84,0227AL57,Dalen,,,,RENSEANLEGG,227,,,002.C5,11.22755,59.87505,,,
85,0229AL03,Flateby,,,,RENSEANLEGG,229,,,002.C6,11.16044,59.83216,,,
86,0231AL18,RA-2 Sentralrenseanle,,,,RENSEANLEGG,231,,,002.CB0,11.03929,59.95177,,,
87,0233AL01,Åneby,,,,RENSEANLEGG,233,,,002.CD2,10.88162,60.08516,,,
88,0233AL02,Rotnes,,,,RENSEANLEGG,233,,,002.CD2,10.88521,60.05143,,,
89,0235AL43,Onsrud,,,,RENSEANLEGG,235,,,002.D2Z,11.28991,60.13179,,,
90,0235AL59,Kløfta,,,,RENSEANLEGG,235,,,002.CAB1,11.10718,60.06208,,,
91,0235AL60,Hauerseter Rep. Sente,,,,RENSEANLEGG,235,,,002.DAA2Z,11.20183,60.18808,,,
92,0235AL62,Nye Gardermoen RA,,,,RENSEANLEGG,235,,,002.CAB1,11.11227,60.16978,,,
93,0236AL07,Fjellfoten,,,,RENSEANLEGG,236,,,002.D5,11.45176,60.10463,,,
94,0237AL77,Bårli,,,,RENSEANLEGG,237,,,002.DAA211,11.26498,60.31905,,,
95,0237AL78,Minnesund,,,,RENSEANLEGG,237,,,002.DB32,11.23964,60.39853,,,
96,0237AL80,Feiring,,,,RENSEANLEGG,237,,,002.DC22,11.16066,60.49415,,,
97,0238AL00,Fagerli,,,,RENSEANLEGG,238,,,002.CAB2,11.0304,60.15759,,,
98,0238AL49,Åsgreina,,,,RENSEANLEGG,238,,,002.CAB2,10.99336,60.17073,,,
99,0239AL74,Hurdal Sentrum,,,,RENSEANLEGG,239,,,002.DAC2,11.06895,60.42645,,,
100,0301AL01,Bekkelaget,,,,RENSEANLEGG,301,,,006.21,10.76701,59.88296,,,
101,0301AL27,Grefsenkollen,,,,RENSEANLEGG,301,,,006.A3,10.80329,59.95881,,,
102,0301AL30,Kobberhaugshytta,,,,RENSEANLEGG,301,,,007.B1,10.66577,60.03786,,,
103,0402AL08,Kongsvinger RA,,,,RENSEANLEGG,402,,,002.F4,11.97045,60.20341,,,
104,0402AL09,Bæreia Krigsinvalideh,,,,RENSEANLEGG,402,,,313.3E,11.9695,60.1503,,,
105,0402AL14,Austmarka RA,,,,RENSEANLEGG,402,,,313.1C3,12.32267,60.09329,,,
106,0412AL04,Apelsvoll (Kise),,,,RENSEANLEGG,412,,,002.DC75,10.80668,60.77424,,,
107,0412AL07,Strandheim Camping,,,,RENSEANLEGG,412,,,002.DC73,10.92208,60.83056,,,
108,0412AL08,Tyrili Bjørkhaugen re,,,,RENSEANLEGG,412,,,002.DD1C,10.63753,61.09749,,,
109,0412AL20,Moelv,,,,RENSEANLEGG,412,,,002.DD1A1,10.69365,60.92194,,,
110,0605AL01,Nakkerud Renseanlegg,,,,RENSEANLEGG,605,,,012.D81,10.05882,60.04297,,,
111,0605AL02,Ringmoen RA,,,,RENSEANLEGG,605,,,012.F52,10.09461,60.35365,,,
112,0605AL32,Hallingby Renseanlegg,,,,RENSEANLEGG,605,,,012.F51,10.17492,60.26855,,,
113,0605AL34,Monserud Renseanlegg,,,,RENSEANLEGG,605,,,012.E0,10.23174,60.14501,,,
114,0605AL35,Sokna Renseanlegg,,,,RENSEANLEGG,605,,,012.DBA1,9.93178,60.23636,,,
115,0605AL98,Solborg familiehjem r,,,,RENSEANLEGG,605,,,012.EA3,10.37276,60.20567,,,
116,0612AL00,Sollihøgda,,,,RENSEANLEGG,612,,,012.D52,10.34145,59.96433,,,
117,0612AL20,Hole,,,,RENSEANLEGG,612,,,012.E0,10.21977,60.11369,,,
118,0615AL01,Flå,,,,RENSEANLEGG,615,,,012.CC10,9.47256,60.43028,,,
119,0615AL04,Brennåsen Renseanlegg,,,,RENSEANLEGG,615,,,012.CB8Z,9.51202,60.34174,,,
120,0615AL05,Fekjan Hyttegrend Ren,,,,RENSEANLEGG,615,,,012.CB82,9.5786,60.37683,,,
121,0615AL06,Høgevarde Renseanlegg,,,,RENSEANLEGG,615,,,012.CB8Z,9.5124,60.33282,,,
122,0615AL10,Reinsjøfjell Øvre,,,,RENSEANLEGG,615,,,012.CC6B,9.19179,60.38559,,,
123,0616AL29,Nesbyen,,,,RENSEANLEGG,616,,,012.CC82,9.11312,60.5727,,,
124,0616AL32,Myking,,,,RENSEANLEGG,616,,,012.CCBB,8.83418,60.53224,,,
125,0617AL01,Granheim Feriesenter,,,,RENSEANLEGG,617,,,012.CDA12,8.7609,60.77755,,,
126,0617AL79,Hallingen,,,,RENSEANLEGG,617,,,012.CD5B,9.01101,60.77117,,,
127,0617AL80,Golsfjellet Avløpsren,,,,RENSEANLEGG,617,,,012.JC2,8.99264,60.83761,,,
128,0618AL00,Tuv,,,,RENSEANLEGG,618,,,012.CDC0,8.47326,60.87608,,,
129,0618AL02,Ulsåk,,,,RENSEANLEGG,618,,,012.CDB4,8.61726,60.84694,,,
130,0618AL11,Grøndalen renseanlegg,,,,RENSEANLEGG,618,,,012.CDBAA,8.4356,60.92261,,,
131,0618AL12,Trøim,,,,RENSEANLEGG,618,,,012.CDB31,8.56924,60.86026,,,
132,0619AL01,Rødungen,,,,RENSEANLEGG,619,,,012.CED1,8.25373,60.7096,,,
133,0619AL02,Skarslia Ra,,,,RENSEANLEGG,619,,,012.CEC2,8.29419,60.67916,,,
134,0619AL50,Torpo,,,,RENSEANLEGG,619,,,012.CE30,8.73151,60.66525,,,
135,0620AL01,Sudndalen,,,,RENSEANLEGG,620,,,012.CFC6,8.02625,60.65198,,,
136,0620AL08,Hol Renseanlegg,,,,RENSEANLEGG,620,,,012.CFA3,8.29481,60.61578,,,
137,0620AL09,Geilo,,,,RENSEANLEGG,620,,,012.CG1Z,8.24538,60.54188,,,
