År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,101.82300000000001,973.525,1041.345,96.98100000000001,10793.743999999999,13007.416000000001,2213.6730000000002
1991,126.378,957.4469999999999,1041.345,108.781,8261.837,10495.786,2233.9480000000003
1992,150.93,934.3979999999999,1041.345,119.612,8525.704,10771.987,2246.281
1993,206.54399999999998,889.378,1152.357,175.21400000000003,7944.6,10368.092,2423.491
1994,185.24,860.161,1303.992,274.718,9487.547,12111.658,2624.1099999999997
1995,227.04899999999998,860.306,1161.665,263.76099999999997,9018.664999999999,11531.447000000002,2512.782
1996,289.95900000000006,858.768,1266.28,353.531,6197.283,8965.821,2768.5370000000003
1997,300.862,857.099,1227.3310000000001,266.945,7821.761999999999,10474.000999999998,2652.238
1998,348.029,855.498,1513.6090000000002,212.878,8038.788,10968.802,2930.014
1999,343.063,853.8340000000001,1033.133,164.267,9312.604000000001,11706.899,2394.2980000000002
2000,360.705,852.257,1037.1200000000001,176.19500000000002,10511.92,12938.195000000002,2426.276
2001,304.08099999999996,889.0039999999999,1017.136,188.222,8391.392,10789.837,2398.4449999999997
2002,330.80499999999995,851.618,922.471,198.06799999999998,7963.674,10266.638,2302.963
2003,465.694,851.018,958.622,170.85600000000002,7791.785,10237.977,2446.1929999999998
2004,367.246,850.9089999999999,1001.5320000000002,124.606,8241.061000000002,10585.355,2344.2950000000005
2005,454.11400000000003,875.3839999999999,933.9550000000002,108.74300000000001,8106.365,10478.558999999997,2372.1949999999997
2006,406.84400000000005,874.0740000000001,1099.2140000000002,113.883,8905.682999999999,11399.699,2494.015
2007,522.699,881.878,1048.8799999999999,77.569,8429.622,10960.647,2531.022
2008,500.349,882.161,1068.322,71.039,10208.109,12729.98,2521.87
2009,530.3199999999999,874.2539999999999,1145.955,70.71600000000001,8711.961000000001,11333.208000000002,2621.249
2010,388.39099999999996,877.086,1163.388,72.973,6304.492,8806.33,2501.838
2011,581.665,877.249,1103.5330000000001,94.156,8799.319,11455.922999999999,2656.603
2012,668.0,879.0,1125.0,105.0,8705.0,11478.0,2776.0
2013,587.044,876.134,1122.989,90.30399999999999,8449.426,11125.896,2676.47
2014,695.7643093461218,577.5583246254414,1057.9526499134674,93.8032472,8539.110232405921,10964.18876349095,2425.07853108503
2015,768.916,795.4599999999999,1220.0369999999998,106.16799999999999,9976.470000000001,12867.049,2890.5800000000004
2016,804.3688733611999,788.7676598665,1221.5982686394702,76.698420784,7549.345796348,10440.77901899917,2891.4332226511697
2017,533.9296940044164,776.0142994741165,1272.3888727305484,219.97665008,8307.74216335073,11110.05167963981,2827.4068915133053
2018,843.2088208881738,780.2661969662558,1102.0859467754167,74.613928,6791.747920003183,9591.922812633025,2800.174892629844
2019,628.0209154484173,779.618818235251,1113.9655161429455,59.650168,6712.611950481053,9293.867368307667,2581.255417826615
2020,1011.5790671060522,778.3807505215525,1330.3679525559041,120.404496,8426.08860987466,11666.820876058171,3240.7322661835115
