År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,21.577,22.207,62.631,8.158,77.779,192.35,114.57300000000001
1991,26.778,21.858000000000004,62.631,8.258,60.27499999999999,179.798,119.52399999999999
1992,31.977000000000004,21.026,62.631,7.177999999999999,61.673,184.48499999999999,122.81099999999999
1993,43.757000000000005,19.341,107.268,14.2,57.777,242.34400000000002,184.567
1994,39.239000000000004,18.754,60.241,6.706,68.907,193.844,124.937
1995,48.09,18.605,74.69,8.26,65.435,215.08100000000002,149.64600000000002
1996,61.428,18.728,93.961,11.659,46.102999999999994,231.877,185.77399999999997
1997,63.736000000000004,18.816,93.90100000000001,11.444,56.97999999999999,244.87599999999998,187.89499999999998
1998,73.731,18.933000000000003,68.306,15.925,58.89,235.784,176.89499999999998
1999,71.639,18.945,56.672000000000004,10.367999999999999,67.701,225.326,157.624
2000,71.242,19.033,56.918,10.333000000000002,76.16,233.685,157.52599999999998
2001,60.402,21.222,60.458000000000006,7.39,61.727000000000004,211.196,149.46800000000002
2002,64.816,18.936999999999998,45.53399999999999,7.745,58.248999999999995,195.279,137.03
2003,91.572,18.859,39.03699999999999,8.402000000000001,57.11699999999999,214.99099999999999,157.872
2004,71.813,18.839999999999996,36.498000000000005,9.553,60.20400000000001,196.904,136.701
2005,89.63900000000001,20.285,32.316,10.225,58.77000000000001,211.23399999999998,152.464
2006,85.994,20.157999999999998,34.944,8.514,65.034,214.642,149.608
2007,101.33,20.909999999999997,33.027,7.419,61.153000000000006,223.836,162.685
2008,92.65599999999999,20.947,32.513,6.527,73.958,226.599,152.642
2009,97.659,20.128,35.167,7.623000000000001,63.667,224.242,160.574
2010,71.956,20.222,34.05,6.535,46.849,179.61200000000002,132.763
2011,100.714,20.216,36.469,7.637,64.106,229.14299999999997,165.03699999999998
2012,115.604,20.507,33.387,7.493,63.382,240.372,176.99200000000002
2013,102.369,20.580000000000002,35.743,5.93,61.87500000000001,226.49599999999998,164.621
2014,120.19376253841307,15.210294974417371,34.49253121754394,5.8263578,50.35189634544415,226.07484287581855,175.7229465303744
2015,133.084,19.785,44.21900000000001,6.045,72.44500000000001,275.577,203.13100000000003
2016,138.70580019064,20.362501510563,32.975775987037,4.503321564,44.03088429241001,240.57828354465,196.54739925224
2017,92.750536018239,21.127462281062932,38.73837659912351,6.2832094819999895,48.11726982460162,207.01685420502707,158.89958438042544
2018,145.89611779989127,17.8124280588466,32.147833231956604,7.083019000000002,40.25781527215337,243.19721336284792,202.93939809069457
2019,107.84128786154346,17.795023617522432,36.88796577396224,7.326651999999999,39.92612173541548,209.77705098844365,169.8509292530282
2020,174.03526348571737,17.78061417214441,37.887722629077395,7.628274,49.20885140756948,286.5407256945087,237.33187428693918
