År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,1296.2389999999998,278.40200000000004,662.6149999999998,0.0,13299.455000000002,15536.707,2237.248
1991,1248.6250000000002,278.40200000000004,662.6149999999997,0.0,12549.473000000002,14739.097000000002,2189.6300000000006
1992,1200.995,278.40200000000004,662.615,0.0,14972.509999999998,17114.52,2142.0039999999995
1993,1329.3569999999995,278.40200000000004,747.4269999999997,0.04,13889.030999999999,16244.254000000004,2355.225999999999
1994,1515.156,278.40200000000004,1372.496,0.04,10855.073,14021.158000000001,3166.090000000001
1995,2098.448,278.40200000000004,1618.8170000000005,0.04,13073.839999999995,17069.541999999998,3995.6990000000005
1996,2393.862,278.40200000000004,1850.6980000000005,0.04,14129.792000000005,18652.793,4523.0
1997,2855.327,278.40200000000004,1850.012,0.04,14921.925000000001,19905.703999999994,4983.780000000001
1998,3733.469,278.40200000000004,1644.9090000000008,0.04,12459.620999999997,18116.436000000005,5656.819999999997
1999,3832.861,278.40200000000004,1550.2449999999992,0.04,12056.885999999997,17718.428,5661.548000000003
2000,4107.353,278.40200000000004,1514.3299999999995,0.04,14973.575000000004,20873.704000000005,5900.124000000001
2001,5003.196000000001,632.288,1331.8930000000005,0.04,11888.213000000002,18855.624999999993,6967.420000000001
2002,4454.433999999999,630.8330000000002,1375.7480000000003,0.04,12946.3,19407.35999999999,6461.063000000001
2003,5541.9479999999985,630.6429999999999,1299.2859999999996,0.04,13182.536000000006,20654.46,7471.922
2004,4988.172999999999,629.4480000000001,1356.717,0.04,13321.620999999997,20296.0,6974.378000000001
2005,6034.601,628.648,1250.8449999999998,0.0,15330.791000000003,23244.890000000003,7914.092
2006,6619.682000000001,631.6899999999999,1229.7079999999999,0.0,13670.950000000004,22152.029000000013,8481.078000000007
2007,7198.544999999998,629.399,1236.2789999999998,0.0,15703.179000000002,24767.399999999998,9064.226
2008,7941.125,628.7990000000001,1217.5370000000005,0.0,11726.685999999998,21514.147999999994,9787.460000000001
2009,9645.976999999999,629.242,1223.7420000000004,0.0,12033.566999999995,23532.525999999987,11498.958999999997
2010,9888.714999999998,631.2709999999997,1328.4959999999996,0.0,12414.938999999998,24263.417,11848.476999999993
2011,10455.642,628.9429999999999,1261.3589999999997,0.0,13651.679999999998,25997.624000000003,12345.944000000003
2012,12423.0,632.0,1267.0,104.0,12020.0,26453.0,14430.0
2013,13232.82,629.315,1293.09,56.717,12990.058999999997,28201.999000000007,15211.939000000002
2014,13872.944241068592,551.197509016931,1287.8011911696358,78.533,7962.750614009869,23753.22655526503,15790.475941255163
2015,14083.367999999993,599.296,1300.5969999999998,58.4,13712.137,29753.794,16041.659
2016,14140.779244001758,595.3484580472259,1301.8507257633023,83.27,8597.455424960004,24718.703852772298,16121.248427812287
2017,15813.914120456699,596.1654487149764,1284.9939359040259,81.01,10866.61461320753,28642.698118283235,17786.055814775333
2018,14878.860667052657,552.4857364877336,1692.6181904122736,127.99000000000002,7229.428955678917,24481.383549631595,17251.954593952672
2019,15664.121681900175,551.9853688146887,1625.7283068233826,27.311999999999998,7938.432255179084,25807.579612717323,17869.147357538244
2020,17628.33631539492,552.8782085350595,1601.7116174043922,88.166,10408.835518947564,30279.927660281934,19871.09214133438
