År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,300.587,58.452,248.96299999999997,0.0,5933.861000000001,6541.864999999999,608.0020000000001
1991,269.091,58.452,248.9629999999999,0.0,6071.441,6647.940999999999,576.5040000000001
1992,237.589,58.452,248.96299999999994,0.0,7659.563999999999,8204.573000000002,545.0040000000002
1993,319.18399999999997,58.452,274.83000000000004,0.0,6754.5830000000005,7407.046999999998,652.4649999999999
1994,232.68800000000002,58.452,378.674,0.0,5256.603000000003,5926.412000000001,669.813
1995,325.58500000000004,58.452,458.1380000000001,0.0,6395.057999999999,7237.231999999998,842.174
1996,313.184,58.452000000000005,487.955,0.0,7377.396999999999,8236.990000000002,859.59
1997,594.7719999999999,58.452000000000005,474.548,0.0,7033.274000000001,8161.048999999999,1127.7710000000002
1998,930.472,58.452,434.0759999999999,0.0,6550.248000000001,7973.244999999999,1423.000000000001
1999,960.1550000000001,58.452,425.2610000000001,0.0,6486.503000000001,7930.370000000002,1443.8699999999994
2000,1520.324,58.452,406.0380000000001,0.0,7650.667999999999,9635.488999999998,1984.8179999999998
2001,1748.7580000000003,94.17999999999999,368.586,0.0,6287.307000000001,8498.827,2211.522
2002,1701.6380000000004,93.82500000000002,328.86400000000003,0.0,6319.103,8443.431,2124.33
2003,1998.635,94.027,347.4769999999999,0.0,6548.703999999999,8988.846,2440.1419999999994
2004,1645.6410000000003,93.92699999999999,364.222,0.0,6548.932000000001,8652.724,2103.789
2005,1273.8390000000004,93.67599999999999,300.65699999999987,0.0,7376.583999999999,9044.760999999999,1668.1709999999998
2006,1259.839,93.423,288.003,0.0,7106.271000000001,8747.533999999998,1641.265
2007,1444.257,93.22300000000001,296.673,0.0,7933.041,9767.193,1834.1540000000002
2008,1591.3790000000004,93.17200000000001,297.92199999999997,0.0,6035.296,8017.77,1982.4730000000002
2009,2470.515,93.12100000000001,302.87299999999993,0.0,5862.958,8729.462,2866.508
2010,2572.6760000000004,92.667,294.079,0.0,6552.49,9511.911,2959.4229999999993
2011,2930.518,92.92,291.07099999999986,0.0,7019.761,10334.268,3314.5110000000004
2012,3750.0,94.0,297.0,53.0,6387.0,10584.0,4196.0
2013,4326.965,93.07100000000001,308.17400000000004,20.43,6836.129,11584.766000000003,4748.638000000001
2014,4156.457924268487,84.9693170676359,293.95484109583896,42.0,3869.961268731769,8447.34335116373,4577.382082431963
2015,3986.219,88.683,299.27599999999995,0.0,6993.078,11367.257000000001,4374.177000000001
2016,3952.062185215659,95.02497645465199,259.1578709760646,26.3,4403.90175538055,8736.446788026924,4332.545032646375
2017,4759.695045849275,90.2540843919027,290.7105665952755,20.84,5772.597791904553,10934.097488741003,5168.319227734757
2018,4376.040586427095,84.74039166280585,419.740159049993,118.14000000000001,3894.206062509899,8892.867199649792,4998.661137139895
2019,5183.5211068890785,84.51828531258779,445.4717368017656,25.012,3998.74272816558,9737.265857169012,5738.523129003434
2020,5507.758299258052,84.88310473432757,402.2081253453108,31.266,5054.160990972334,11080.276520310026,6026.115529337689
