År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,0.055,306.907,163.792,79.61500000000001,94.22899999999998,644.5979999999998,550.368
1991,0.064,298.477,163.792,101.11500000000001,83.32999999999998,646.777,563.4480000000001
1992,0.074,283.564,163.792,53.42300000000001,87.574,588.4279999999999,500.853
1993,0.096,256.567,194.305,49.167,96.92600000000002,597.0630000000001,500.135
1994,0.089,246.34400000000002,137.56499999999997,87.327,95.388,566.7119999999999,471.325
1995,0.105,243.00100000000003,178.561,70.707,97.162,589.5409999999999,492.3759999999999
1996,0.14500000000000002,240.40900000000002,212.682,80.713,80.11599999999999,614.065,533.95
1997,0.149,237.52700000000002,214.494,88.75,92.16099999999999,633.083,540.9209999999999
1998,0.154,234.567,177.98100000000002,123.343,95.00800000000001,631.0540000000002,536.0450000000001
1999,0.17900000000000002,231.49300000000002,155.652,80.293,101.22599999999998,568.841,467.61600000000004
2000,0.167,228.88400000000001,131.391,73.231,108.80300000000001,542.4730000000001,433.67100000000005
2001,0.111,211.662,133.85200000000003,82.592,96.67500000000001,524.8929999999999,428.216
2002,0.0,201.262,121.291,83.47299999999998,92.641,498.66800000000006,406.024
2003,0.0,202.705,123.279,92.11600000000001,87.60799999999999,505.707,418.09999999999997
2004,0.0,196.06499999999997,118.19600000000001,102.559,91.17600000000002,507.9960000000001,416.8190000000001
2005,1.437,191.51900000000003,123.634,83.94,91.57000000000001,492.09999999999997,400.53000000000003
2006,0.157,202.065,127.86699999999999,77.945,96.91400000000003,504.94700000000006,408.033
2007,6.228,191.534,120.264,82.94200000000001,99.564,500.532,400.96900000000005
2008,0.0,177.022,120.163,89.311,106.22399999999999,492.72299999999996,386.502
2009,0.0,169.52800000000002,117.137,90.82300000000001,96.98499999999999,474.47300000000007,377.4860000000001
2010,0.0,169.70100000000002,120.50099999999999,81.399,93.0,464.604,371.602
2011,0.0,155.765,131.904,71.705,100.17999999999998,459.5570000000001,359.376
2012,0.0,183.90699999999995,123.20500000000003,74.03399999999999,99.853,481.002,381.148
2013,0.0,212.988,120.39700000000002,67.477,96.01,496.871,400.8629999999999
2014,0.0076158674347826,178.8394321313215,120.71929376507249,51.182786772040004,73.6717793522104,424.4209078880791,350.74912853586875
2015,0.013,204.59500000000003,150.428,21.67,98.672,475.381,376.71000000000004
2016,0.0063588003913,213.75766695785,117.61284839419062,45.41497534979999,70.40414609076198,447.1959955929938,376.7918495022319
2017,0.00208711304347826,204.32789323690494,124.1603423839888,55.782396926211,76.31814663029269,460.59086629044083,384.27271966014825
2018,0.0,137.42925659948895,101.9914284734722,51.740101151714,70.85999837097523,362.0207845956504,291.16078622467523
2019,0.0,125.01267501844086,120.41222662391681,43.8044573549964,71.86168814690635,361.09104714426064,289.22935899735427
2020,0.0,148.04832436850273,109.67718120417038,40.14263302771655,76.65792318216086,374.5260617825505,297.8681386003897
