År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,1548.9849999999997,237.11700000000002,1285.4569999999997,780.543,10388.784,14240.882999999998,3852.103
1991,1540.44,237.117,1285.4569999999997,729.543,7667.633000000001,11460.182000000003,3792.55
1992,1531.8830000000003,237.11700000000002,1285.457,689.754,9344.837999999998,13089.051999999998,3744.212
1993,2011.6829999999998,237.11700000000002,1498.783,693.89,7088.812,11530.283999999998,4441.4710000000005
1994,2454.1780000000003,237.11700000000005,1682.9299999999998,713.689,7792.904999999998,12880.819,5087.914000000002
1995,3348.7670000000003,237.11700000000002,1754.1919999999996,713.818,8267.821,14321.721,6053.898000000001
1996,3718.1629999999996,237.11700000000002,1811.398,608.783,5040.004,11415.464000000004,6375.461000000001
1997,3753.265,237.11700000000002,1790.1879999999999,763.262,7855.687000000002,14399.519999999999,6543.830999999999
1998,4206.704000000001,237.11700000000002,2103.189,1038.992,7322.649,14908.652999999998,7586.0019999999995
1999,4196.2609999999995,237.11700000000002,2061.098,764.452,8300.581,15559.511000000004,7258.928999999999
2000,4635.183999999999,237.11700000000002,1926.7600000000002,1075.3459999999998,8131.366000000002,16005.773000000001,7874.405999999999
2001,4641.599999999999,1255.6570000000002,1674.8580000000002,1071.599,5692.964000000002,14336.678,8643.712000000001
2002,4071.6640000000007,1254.883,1590.869,569.9440000000001,6441.009999999999,13928.371999999996,7487.3600000000015
2003,4640.058000000001,1254.781,1587.984,130.635,6931.4980000000005,14544.955,7613.458
2004,4800.406999999999,1263.922,1624.7670000000003,134.29500000000002,7078.0070000000005,14901.395,7823.389000000001
2005,4787.365,1266.1259999999997,1705.202,128.655,9211.552999999998,17098.905000000006,7887.349000000001
2006,5686.482000000001,1262.137,1782.4950000000003,120.48400000000001,7092.600000000001,15944.201000000001,8851.596999999998
2007,7191.791999999999,1264.306,1774.674,118.085,8615.197,18964.048,10348.855999999998
2008,7620.258,1266.7169999999999,1759.1669999999997,79.22200000000001,8012.379999999999,18737.740999999995,10725.364
2009,8380.575,1267.4159999999997,1865.3569999999997,77.49,6728.2119999999995,18319.053,11590.836000000001
2010,7841.666000000001,1269.9120000000003,1855.5959999999998,59.623,4975.734,16002.535000000002,11026.800000000003
2011,9123.779,1272.1190000000001,1865.8860000000002,58.059000000000005,8083.477999999998,20403.323,12319.847000000003
2012,10302.0,1244.0,1872.0,92.0,7849.0,21358.0,13513.0
2013,9264.594,1271.092,1943.1819999999998,142.633,6892.097,19513.595000000005,12621.498000000001
2014,9954.367135035893,1072.3587108849806,1844.6842139760547,86.26679999999999,5222.749040608962,18180.425900505892,12957.676859896932
2015,10399.355,1119.0710000000001,2056.0040000000004,72.7,9626.103000000003,23273.237000000005,13647.134000000002
2016,10268.7816310413,1112.30144709587,1830.555621831185,104.7658,6339.891688237491,19656.296188205848,13316.404499968354
2017,10552.090107857557,1111.305558018051,1886.181881621043,97.329,7360.067481553703,21006.974029050347,13658.716658642792
2018,10105.676554347618,1170.7203066531777,1905.6166347240473,119.2458,5508.422486239015,18809.68178196386,13301.259295724842
2019,10655.014075539235,1170.7786192222839,1899.9170759773535,135.3892,4493.509908642339,18354.60887938121,13861.09897073887
2020,11110.12977006424,1159.1306817502737,2098.5690745863712,102.84190000000001,6044.404720512426,20515.076146913314,14470.67142640089
