År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,325.9719999999999,16.721,141.583,27.881999999999998,118.55800000000002,630.719,512.156
1991,324.18600000000004,16.721,141.583,29.582,86.558,598.628,512.068
1992,322.39399999999995,16.721,141.583,27.604,105.98199999999999,614.2850000000001,508.29999999999984
1993,423.3500000000001,16.721,165.66100000000003,32.599,80.276,718.6039999999998,638.3280000000001
1994,516.482,16.721,190.292,32.111999999999995,88.213,843.815,755.608
1995,704.7320000000001,16.721,195.15699999999998,26.424999999999997,93.725,1036.756,943.0350000000001
1996,782.4840000000002,16.721,195.739,26.641,55.945999999999984,1077.53,1021.5840000000001
1997,789.8709999999999,16.721,201.19599999999997,27.95,88.67699999999999,1124.4150000000002,1035.7389999999998
1998,885.2810000000002,16.721,241.36499999999998,30.68,82.37599999999998,1256.417,1174.0439999999999
1999,890.743,16.721,229.69400000000005,32.854,93.83099999999999,1263.8400000000001,1170.008
2000,921.5660000000001,16.721,219.32,31.115,92.086,1280.806,1188.722
2001,912.9270000000001,36.639,184.13200000000003,32.559,63.817,1230.074,1166.255
2002,792.5930000000001,36.639,178.838,34.816,72.693,1115.5810000000001,1042.886
2003,914.2610000000003,36.35,177.59300000000002,42.498999999999995,78.088,1248.7900000000002,1170.7040000000004
2004,941.727,36.278999999999996,181.46500000000003,45.488,79.77900000000001,1284.733,1204.958
2005,941.9739999999999,36.278999999999996,191.2,41.015,104.26400000000002,1314.7300000000002,1210.467
2006,1201.8239999999996,36.494,201.536,46.024,79.38600000000001,1565.267,1485.8829999999998
2007,1392.691,36.422,228.23099999999997,34.486,97.32700000000001,1789.1610000000003,1691.831
2008,1403.9770000000003,36.234,229.47600000000003,41.353,90.68200000000002,1801.724,1711.041
2009,1530.2869999999998,36.234,214.95099999999996,37.457,75.911,1894.838,1818.9289999999996
2010,1424.884,36.162,217.52600000000004,50.541,55.592,1784.706,1729.1150000000002
2011,1571.5320000000002,36.162,219.08700000000005,60.63799999999999,91.69200000000001,1979.107,1887.414
2012,1778.3159999999998,35.798,219.71699999999998,65.667,88.932,2188.4269999999997,2099.4950000000003
2013,1596.8600000000001,35.117999999999995,213.998,26.148,77.41600000000001,1949.5460000000003,1872.1250000000002
2014,1716.184379788565,31.606697151975744,227.8798438566409,20.298484000000002,52.387352860389306,2048.356757657571,1995.9694047971816
2015,1790.3950000000002,39.096,180.37500000000003,10.9,109.375,2130.1439999999993,2020.767
2016,1768.8027672824,38.794407884454294,227.3873883108179,17.609514,63.840569442509995,2116.434646920183,2052.5940774776723
2017,1818.7548640237787,39.61660920747792,221.44354684096095,14.669682000000002,74.24403044476475,2168.7287325169827,2094.4847020722177
2018,1735.9481205661955,36.321602802836416,206.0993018595171,20.871988,55.22946503540953,2054.4704782639587,1999.241013228549
2019,1827.4062664767391,36.325523370013265,202.12291925178482,26.851934399999998,44.71498606968574,2137.4216295682227,2092.7066434985372
2020,1910.6368545787825,36.05038972830143,213.09740793546726,18.3779916,61.36224191229337,2239.5248857548445,2178.162643842551
