År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,0.014,17.196,66.41499999999999,5.943,3.9510000000000005,93.519,89.56700000000001
1991,0.014,16.751,66.41499999999999,5.543,3.982,92.703,88.723
1992,0.014,15.878,66.41499999999999,5.992,3.671,91.971,88.3
1993,0.014,14.432,80.27599999999998,2.134,3.8339999999999996,100.69200000000001,96.857
1994,0.014,13.876,48.027,2.832,4.539,69.288,64.749
1995,0.014,13.672,70.51,4.419,4.446000000000001,93.063,88.61500000000001
1996,0.028,13.615,85.80700000000002,5.039,3.536,108.024,104.49000000000001
1997,0.028,13.632,85.911,4.591,3.7190000000000003,107.88199999999999,104.162
1998,0.018,13.575999999999999,68.275,4.6979999999999995,4.146,90.713,86.56700000000001
1999,0.014,13.518999999999998,60.062,5.3389999999999995,4.86,83.794,78.934
2000,0.014,13.463,50.099999999999994,5.525,5.335,74.436,69.101
2001,0.0,12.147,58.646,4.519,4.854,80.16699999999999,75.311
2002,0.0,12.036999999999999,49.977,3.782,4.091,69.887,65.79400000000001
2003,0.0,11.850999999999999,44.70099999999999,4.02,4.293,64.865,60.573
2004,0.0,11.832,44.57,3.999,4.335,64.737,60.400999999999996
2005,0.0,9.901,52.227000000000004,2.79,3.766,68.685,64.918
2006,0.0,11.982000000000001,53.016999999999996,1.5,4.648,71.14500000000001,66.498
2007,0.0,11.836,52.059,2.9800000000000004,4.426,71.30000000000001,66.874
2008,0.0,10.889,46.44799999999999,2.24,5.039000000000001,64.618,59.581
2009,0.0,10.503,45.918,2.229,4.5649999999999995,63.215,58.65
2010,0.0,10.597,50.833,2.75,4.178,68.359,64.179
2011,0.0,10.225999999999999,58.141000000000005,2.4909999999999997,4.52,75.37899999999999,70.86
2012,0.0,12.081000000000001,54.203,2.73,4.5920000000000005,73.606,69.01400000000001
2013,0.0,12.949,49.925,2.31,4.381,69.56400000000001,65.185
2014,0.0,9.671736205519474,53.574319253346204,4.846,3.437195283905657,71.52925074277135,68.09205545886567
2015,0.0,12.275,62.131,0.0,4.6419999999999995,79.048,74.408
2016,0.0,18.2072878209,40.0750541792406,2.3,2.8658615836959997,63.4482035838366,60.5823420001406
2017,0.0,17.480276411423127,51.46980298069872,2.5,2.829216155375493,74.27929554749733,71.45007939212184
2018,0.0,6.881473950263626,47.822261794971894,7.8439999999999985,2.8832128877705996,65.43094863300612,62.547735745235535
2019,0.0,6.478914196279875,57.128858981840665,8.998,3.517975916233453,76.123749094354,72.60577317812056
2020,0.0,8.076323688694796,56.481934706423175,5.018000000000002,3.8572004718299038,73.43345886694786,69.57625839511797
