År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,1472.6330000000003,304.736,377.653,860.0,11607.002999999999,14622.020999999997,3015.013
1991,1361.616,304.736,377.65299999999996,814.0,9751.295,12609.281,2857.9919999999997
1992,1250.5859999999998,304.73599999999993,377.653,649.7,11378.720000000003,13961.387999999999,2582.6659999999993
1993,1125.026,304.736,428.764,569.4399999999999,10250.258,12678.217,2427.9630000000006
1994,1848.319,304.736,956.2760000000001,540.3899999999999,8483.702000000001,12133.418999999998,3649.7179999999994
1995,2365.1659999999997,304.736,1431.162,555.4599999999999,11388.774000000003,16045.292999999996,4656.516
1996,2834.7830000000004,304.736,1464.2500000000002,656.21,9397.187999999998,14657.157000000001,5259.973999999999
1997,3235.8379999999997,304.73600000000005,1447.106,678.998,12687.839,18354.509,5666.673999999999
1998,3620.2329999999993,304.736,1266.245,538.3849999999999,10340.041000000003,16069.634000000002,5729.593999999999
1999,3292.9139999999998,304.736,1261.031,457.335,8911.616,14227.629,5316.009
2000,3239.36,304.73599999999993,1124.5559999999998,576.6229999999999,10118.355,15363.625000000002,5245.268999999999
2001,4093.618,550.066,1081.3450000000003,485.42299999999994,7995.090000000002,14205.532999999998,6210.446999999999
2002,3593.1899999999996,549.513,1029.896,689.823,10094.093,15956.513,5862.42
2003,4225.303,550.574,1014.7219999999999,729.0229999999999,9688.849000000002,16208.469999999998,6519.617
2004,4499.235,550.023,1017.0920000000002,693.6229999999999,10215.667000000001,16975.643999999997,6759.977
2005,5661.117000000001,549.0929999999998,1049.0070000000003,551.033,12193.283999999998,20003.534,7810.249999999998
2006,6000.373,551.395,1048.3149999999998,566.0,9373.524,17539.606,8166.081
2007,6568.344,550.747,1063.9899999999998,664.8,10626.655999999999,19474.53,8847.879999999997
2008,7441.646000000001,550.4749999999999,1054.8860000000002,668.32,8342.388000000003,18057.714000000004,9715.324
2009,8512.942000000001,550.5239999999999,1039.1090000000002,557.838,9162.139999999998,19822.552,10660.411
2010,8149.095999999999,550.116,1018.8180000000002,609.55,7104.676,17432.258,10327.579000000002
2011,8675.340000000002,548.76,981.9259999999999,652.2149999999999,10839.052000000001,21697.295999999995,10858.243000000002
2012,9671.0,546.0,1016.0,572.0,8074.0,19883.0,11812.0
2013,9645.379,548.3419999999998,1018.551,492.21,8715.822999999999,20420.309,11704.483
2014,10600.697738305182,432.4167135172157,1040.4739942750234,534.79097,7111.250138937045,19719.629555034462,12608.37941609742
2015,10735.602,511.5420000000001,1066.7710000000002,554.6999999999999,11933.843,24802.455999999995,12868.618
2016,10424.6423936362,502.01033761961025,1105.1783020898442,481.35100000000006,7167.36423446578,19680.546267811438,12513.182033345658
2017,11730.387670669928,507.8236409227702,1098.7999715415963,485.79010000000005,9520.594568706161,23343.39595184046,13828.298121353262
2018,11403.686668279093,476.06390589885586,1162.4754231149227,464.82499999999993,6588.951688346247,20096.002685639123,13507.050997292874
2019,13390.393409983757,475.4320954560441,1171.23103090303,490.64916999999997,7001.379390811212,22529.08509715404,15527.70570634283
2020,14285.641108913842,474.9641416981348,1180.206503064473,514.91204,9367.959337036044,25823.68313071249,16455.723793676454
