År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,2.459,445.436,306.831,112.92700000000002,198.76799999999994,1066.4219999999998,867.652
1991,3.0469999999999997,433.94500000000005,306.831,133.567,170.42199999999994,1047.8079999999998,877.388
1992,3.6340000000000003,412.62200000000007,306.831,96.88000000000002,175.50099999999998,995.4689999999997,819.9649999999999
1993,4.968,373.2150000000001,414.43500000000006,115.42500000000001,186.67200000000005,1094.7210000000002,908.046
1994,4.462000000000001,358.8059999999999,262.447,138.76,198.235,962.7069999999999,764.4709999999998
1995,5.457,354.3910000000001,343.45200000000006,134.081,197.162,1034.5500000000002,837.3860000000001
1996,6.983999999999999,350.821,395.285,140.66599999999997,155.588,1049.342,893.7550000000002
1997,7.246,346.71999999999997,398.55900000000014,150.785,178.718,1082.0249999999999,903.3079999999998
1998,9.032,342.672,328.059,184.339,188.631,1052.7300000000002,864.0980000000001
1999,5.824999999999999,339.0490000000001,286.883,118.25900000000004,202.86399999999998,952.8799999999998,750.017
2000,8.018999999999998,335.41400000000004,248.819,123.37799999999999,220.834,936.457,715.6270000000001
2001,0.704,313.07500000000005,258.7630000000001,137.754,201.60600000000002,911.9019999999997,710.2930000000001
2002,3.211,297.21799999999996,223.13400000000001,132.06099999999998,184.49500000000003,840.1200000000002,655.622
2003,5.179,299.249,227.778,136.17999999999998,180.292,848.6800000000001,668.387
2004,4.812,293.9259999999999,209.48399999999998,148.22199999999998,186.44699999999997,842.8860000000002,656.44
2005,5.343,292.57200000000006,215.961,136.88400000000001,178.063,828.821,650.7580000000002
2006,6.805,302.567,217.232,114.39699999999999,194.41100000000003,835.412,641.0020000000002
2007,12.600999999999999,294.84899999999993,202.67999999999995,115.13000000000004,196.808,822.0649999999998,625.2610000000001
2008,5.799,279.2109999999999,209.05200000000002,121.20800000000001,217.15,832.422,615.275
2009,5.389,269.20099999999996,207.169,121.02900000000002,196.967,799.752,602.7810000000001
2010,0.851,269.5720000000001,206.21999999999997,109.98400000000001,179.88800000000003,766.516,586.6270000000001
2011,3.03,254.1089999999999,221.858,105.598,201.34299999999993,785.9380000000002,584.5940000000002
2012,4.021,288.65599999999995,208.93400000000003,103.506,197.00300000000001,802.1220000000001,605.1199999999999
2013,6.15,316.3200000000001,207.82899999999998,90.75,196.67600000000002,817.72,621.048
2014,4.5856554760434785,263.03948006535074,197.529478514523,77.56878677204001,155.54557465498215,698.2689754829394,542.7234008279571
2015,7.551,303.42400000000004,253.109,35.970000000000006,205.77899999999994,805.836,600.055
2016,4.2229339214313,320.19779793662985,196.61848324652163,67.48697534979999,146.166276239612,734.6924666939949,588.526190454383
2017,5.2172788877608784,316.2637993113287,201.42201433533455,74.905796926211,157.15252999267574,754.961419453311,597.8088894606351
2018,6.922420967282607,212.26999079255233,169.98943717311843,80.453301151714,141.4050698477614,611.0402199324288,469.63515008466754
2019,9.534593601130434,198.6859732740026,193.2646174851165,73.25715735499641,144.45259242828777,619.1949341435339,474.7423417152462
2020,2.86009535673913,228.28698471716706,180.99847638450296,67.45273302771655,158.0276043717731,637.6258938578989,479.59828948612574
