År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,209.07,131.023,174.06600000000003,10.979,155.675,680.8169999999999,525.1389999999999
1991,195.314,131.02299999999997,174.06600000000003,10.199,127.26699999999997,637.8680000000002,510.59999999999985
1992,181.551,131.02299999999997,174.06600000000003,27.527,148.885,663.0540000000001,514.1659999999999
1993,255.88099999999994,131.02299999999997,205.20999999999998,29.23,146.04099999999997,767.3849999999998,621.344
1994,347.834,131.02299999999997,155.588,30.002999999999997,126.33899999999998,790.786,664.4490000000001
1995,433.32000000000005,131.02299999999997,211.242,26.653999999999996,151.60199999999998,953.8419999999999,802.2350000000001
1996,540.91,131.02299999999997,204.27299999999997,32.809,110.65500000000002,1019.6650000000002,909.0129999999999
1997,689.631,131.02299999999997,207.40799999999996,38.482,169.079,1235.622,1066.541
1998,706.758,131.02299999999997,206.08799999999997,25.77,149.17099999999996,1218.806,1069.6380000000001
1999,639.4800000000001,131.02299999999997,179.29,32.488,126.51899999999999,1108.804,982.2819999999999
2000,555.0250000000001,131.02299999999997,131.27200000000002,33.741,136.458,987.517,851.0600000000002
2001,550.985,169.37100000000004,176.77000000000004,27.965,122.38100000000003,1047.469,925.087
2002,592.542,167.49400000000003,163.69800000000006,32.311,123.83000000000001,1079.8729999999998,956.041
2003,814.6089999999999,164.73299999999998,161.431,23.608,129.64200000000002,1294.0259999999998,1164.384
2004,772.674,161.75099999999998,150.25799999999998,24.492,139.27500000000003,1248.449,1109.1730000000002
2005,918.4640000000002,158.09800000000004,147.044,24.537999999999997,159.49199999999996,1407.6349999999998,1248.1439999999998
2006,1344.056,159.61000000000007,139.569,28.37,136.43099999999998,1808.0350000000003,1671.6090000000002
2007,1374.261,155.127,147.13300000000004,32.559,141.59799999999998,1850.683,1709.083
2008,1277.378,156.00500000000002,150.11399999999998,110.144,128.601,1822.2410000000002,1693.641
2009,1457.4430000000002,153.24300000000002,138.946,41.958999999999996,141.478,1933.069,1791.588
2010,1506.72,154.01600000000002,137.04,39.413000000000004,113.36599999999999,1950.5579999999995,1837.19
2011,1612.0059999999999,155.36300000000003,146.35300000000004,279.117,156.15599999999998,2349.001,2192.8410000000003
2012,1813.2510000000002,172.36200000000002,143.29399999999998,38.11,151.85900000000004,2318.8740000000007,2167.0169999999994
2013,1529.212,174.274,159.094,43.760000000000005,129.81499999999997,2036.1580000000004,1906.3419999999996
2014,2068.1458755135,150.02473691377676,154.19447012436444,46.3603,75.97439476744637,2494.6997773190865,2418.725382551641
2015,1544.4079999999997,150.79900000000004,173.01599999999993,40.0,151.64600000000002,2059.866,1908.2189999999996
2016,1847.4905645970998,143.7488071340371,190.03839563520293,61.1776,91.90092046585299,2334.3562878321927,2242.4553673663404
2017,1503.98672570367,146.1450322708841,148.12055525937308,68.16619999999986,117.62672862899615,1984.045241862923,1866.4185132339271
2018,2196.9084854942607,124.0937895055438,157.0491946435737,64.9766,87.81569191669668,2630.843761560076,2543.0280696433783
2019,1694.7482315844127,128.1805138655034,159.3052892114596,63.9888,94.75541575326994,2140.978250414646,2046.222834661376
2020,2210.598997817087,139.20000496973648,162.01347127902525,67.41510000000001,117.58916786754091,2696.8167419333895,2579.2275740658483
