År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,0.2,125.95000000000002,90.94800000000001,25.984,55.75299999999999,298.83699999999993,243.082
1991,0.248,123.122,90.94800000000001,25.024,48.965999999999994,288.30600000000004,239.34099999999998
1992,0.29500000000000004,117.279,90.94800000000001,37.080999999999996,50.012,295.6170000000001,245.602
1993,0.403,106.01700000000001,129.224,60.826,53.517999999999994,349.99,296.472
1994,0.364,102.228,78.97000000000001,45.6,58.07300000000001,285.235,227.16
1995,0.44100000000000006,101.24700000000001,108.23099999999998,56.352,58.16,324.43100000000004,266.272
1996,0.5660000000000001,100.21199999999999,105.99999999999999,50.58699999999999,45.275,302.638,257.363
1997,0.585,98.95300000000002,107.72100000000002,53.013,50.705999999999996,310.976,260.272
1998,0.767,97.814,98.33400000000002,47.596,55.22399999999999,299.733,244.508
1999,0.788,97.277,86.485,29.083000000000002,58.022999999999996,271.658,213.636
2000,0.622,96.21300000000001,73.715,41.35399999999999,62.347,274.25,211.904
2001,0.5589999999999999,90.932,75.463,49.836999999999996,63.543000000000006,280.334,216.79099999999997
2002,0.0,87.08200000000001,68.151,43.397999999999996,54.894000000000005,253.52599999999998,198.632
2003,0.0,87.707,77.261,39.949,55.314,260.231,204.918
2004,0.0,89.043,65.58,41.105000000000004,56.479,252.20600000000002,195.72700000000003
2005,0.0,91.235,70.55699999999999,45.626,50.618,258.034,207.416
2006,0.0,90.753,65.538,31.87,55.139,243.301,188.163
2007,0.0,93.037,60.86,28.516,59.364999999999995,241.776,182.413
2008,0.0,91.89699999999999,67.928,28.912,63.818,252.555,188.737
2009,0.0,89.977,65.89399999999999,25.553,58.113,239.535,181.421
2010,0.0,90.09700000000001,63.141999999999996,24.186,55.672,233.095,177.42399999999998
2011,0.0,88.575,64.482,29.889000000000003,60.236,243.17900000000003,182.943
2012,0.0,94.72800000000001,63.278,25.807,57.173,240.986,183.81300000000002
2013,0.0,93.276,62.974,20.650000000000002,60.480000000000004,237.378,176.89999999999998
2014,0.0,76.85961063522494,56.41431166205945,23.92,49.28759996632853,206.48152226361296,157.19392229728442
2015,0.0,88.91300000000001,73.57,11.899999999999999,60.915,235.298,174.382
2016,0.0,94.80073210498699,60.670012198688994,19.783,47.77063088342,223.02437518709598,175.253744303676
2017,0.0,99.82483856641129,52.46741488554038,16.7534,50.23514568310141,219.2807991350531,169.04565345195167
2018,0.0,65.84829015668828,49.40615369827979,25.380200000000002,45.456065440699106,186.09070929566718,140.63464385496812
2019,0.0,64.68273455919577,50.37116500141427,26.263999999999996,46.25230385069979,187.57020341130988,141.31789956061007
2020,0.0,71.25706525062995,48.419845488577835,24.078400000000002,49.857968621275035,193.6132793604829,143.75531073920783
