År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,301,58,249,0,5934,6542,608
1991,269,58,249,0,6071,6648,577
1992,238,58,249,0,7660,8205,545
1993,319,58,275,0,6755,7407,652
1994,233,58,379,0,5257,5926,670
1995,326,58,458,0,6395,7237,842
1996,313,58,488,0,7377,8237,860
1997,595,58,475,0,7033,8161,1128
1998,930,58,434,0,6550,7973,1423
1999,960,58,425,0,6487,7930,1444
2000,1520,58,406,0,7651,9635,1985
2001,1749,94,369,0,6287,8499,2212
2002,1702,94,329,0,6319,8443,2124
2003,1999,94,347,0,6549,8989,2440
2004,1646,94,364,0,6549,8653,2104
2005,1274,94,301,0,7377,9045,1668
2006,1260,93,288,0,7106,8748,1641
2007,1444,93,297,0,7933,9767,1834
2008,1591,93,298,0,6035,8018,1982
2009,2471,93,303,0,5863,8729,2867
2010,2573,93,294,0,6552,9512,2959
2011,2931,93,291,0,7020,10334,3315
2012,3750,94,297,53,6387,10584,4196
2013,4327,93,308,20,6836,11585,4749
2014,4156,85,294,42,3870,8447,4577
2015,3986,89,299,0,6993,11367,4374
2016,3952,95,259,26,4404,8736,4333
2017,4760,90,291,21,5773,10934,5168
2018,4376,96,420,118,3901,8911,5016
2019,5184,96,445,25,4006,9755,5757
2020,5508,96,402,31,5061,11098,6044
