År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1549,237,1285,781,10389,14241,3852
1991,1540,237,1285,730,7668,11460,3793
1992,1532,237,1285,690,9345,13089,3744
1993,2012,237,1499,694,7089,11530,4441
1994,2454,237,1683,714,7793,12881,5088
1995,3349,237,1754,714,8268,14322,6054
1996,3718,237,1811,609,5040,11415,6375
1997,3753,237,1790,763,7856,14400,6544
1998,4207,237,2103,1039,7323,14909,7586
1999,4196,237,2061,764,8301,15560,7259
2000,4635,237,1927,1075,8131,16006,7874
2001,4642,1256,1675,1072,5693,14337,8644
2002,4072,1255,1591,570,6441,13928,7487
2003,4640,1255,1588,131,6931,14545,7613
2004,4800,1264,1625,134,7078,14901,7823
2005,4787,1266,1705,129,9212,17099,7887
2006,5686,1262,1782,120,7093,15944,8852
2007,7192,1264,1775,118,8615,18964,10349
2008,7620,1267,1759,79,8012,18738,10725
2009,8381,1267,1865,77,6728,18319,11591
2010,7842,1270,1856,60,4976,16003,11027
2011,9124,1272,1866,58,8083,20403,12320
2012,10302,1244,1872,92,7849,21358,13513
2013,9265,1271,1943,143,6892,19514,12621
2014,9954,1072,1845,86,5223,18180,12958
2015,10399,1119,2056,73,9626,23273,13647
2016,10269,1112,1831,105,6340,19656,13316
2017,10552,1111,1886,97,7360,21007,13659
2018,10106,1235,1906,119,5520,18885,13377
2019,10655,1235,1900,135,4505,18430,13937
2020,11110,1235,2099,103,6056,20602,14558
