År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,594,150,304,72,350,1470,1119
1991,559,150,304,74,259,1346,1086
1992,524,150,304,73,308,1359,1051
1993,709,149,359,94,254,1564,1310
1994,873,149,377,85,269,1752,1484
1995,1134,149,460,77,284,2103,1819
1996,1295,149,439,80,184,2147,1963
1997,1381,149,449,82,271,2332,2061
1998,1546,149,441,83,255,2474,2220
1999,1601,149,402,84,284,2520,2236
2000,1843,149,387,80,283,2742,2459
2001,1634,199,346,84,199,2462,2263
2002,1538,199,349,91,227,2405,2177
2003,1752,198,342,92,230,2615,2385
2004,1852,198,334,99,242,2725,2482
2005,1914,200,345,88,309,2856,2546
2006,2311,200,379,92,255,3237,2982
2007,2616,200,402,107,294,3618,3325
2008,2631,200,398,120,279,3628,3349
2009,2919,199,401,119,235,3873,3638
2010,2809,199,424,161,177,3771,3594
2011,3014,199,401,130,280,4024,3744
2012,3284,199,414,144,265,4307,4042
2013,3062,199,428,92,234,4015,3780
2014,3260,170,441,89,168,4128,3960
2015,3369,211,401,85,311,4377,4065
2016,3420,194,479,94,202,4388,4186
2017,3348,200,466,80,226,4319,4094
2018,3290,185,514,98,180,4267,4092
2019,3545,185,474,86,149,4439,4295
2020,3787,185,493,84,198,4747,4554
