År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,7431,25985,15076,4629,88539,141660,53120
1991,6978,25629,15076,4480,71718,123881,52163
1992,6524,25124,15076,5186,82496,134406,51910
1993,8133,24156,17850,5209,75918,131266,55348
1994,10702,23523,16552,3951,73016,127745,54729
1995,13666,23508,21079,3960,81188,143401,62213
1996,15796,23346,20720,4128,62017,126007,63990
1997,18028,23182,20319,4922,82115,148567,66452
1998,20319,23019,19608,4122,75469,142536,67068
1999,20221,22858,18392,3531,76139,141141,65002
2000,22296,22694,17256,3999,83541,149787,66246
2001,19722,28900,16278,3928,67440,136268,68828
2002,20952,28343,15218,3630,70911,139054,68143
2003,25354,28441,14981,2986,70791,142553,71762
2004,25058,28384,15096,3186,74342,146065,71723
2005,27744,28284,15080,2713,83980,157801,73821
2006,32719,28865,15765,2663,75279,155291,80012
2007,37134,28778,15875,2819,83040,167647,84607
2008,38648,28689,15821,2774,78203,164135,85932
2009,44112,28672,16508,2497,72690,164479,91790
2010,44336,28801,16536,3346,61254,154274,93020
2011,48620,28754,16489,2890,81939,178692,96753
2012,54299,29057,16630,2512,75863,178369,102510
2013,52691,29427,17041,2776,72430,174366,101936
2014,57530,24279,17092,2601,57207,158709,101502
2015,57569,27159,18332,2433,85660,191153,105493
2016,56691,27060,18057,2608,62019,166434,104415
2017,59962,27085,18458,2894,73740,182140,108755
2018,60256,29006,17699,2870,55995,165825,110186
2019,63379,28846,18039,2781,55107,168152,113400
2020,68643,28935,18660,2851,69447,188537,119446
