År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,518,3175,1390,380,7435,12899,5463
1991,411,3175,1390,382,6132,11490,5359
1992,305,3175,1390,391,7168,12429,5260
1993,430,3175,1684,204,5836,11328,5493
1994,600,3175,1527,374,6300,11976,5676
1995,685,3175,2195,358,6337,12751,6414
1996,821,3175,1996,383,4579,10954,6375
1997,952,3175,2004,386,6156,12672,6516
1998,1212,3175,1469,359,6039,12254,6215
1999,1285,3175,1234,366,6518,12578,6060
2000,2580,3175,1213,347,6472,13787,7315
2001,1325,4018,1441,355,5281,12421,7140
2002,1406,3998,1604,405,5928,13341,7413
2003,1446,3995,1337,354,5793,12923,7130
2004,1855,4003,1284,334,5988,13464,7476
2005,2070,4026,1414,327,6727,14564,7837
2006,2022,4031,1496,303,5876,13728,7852
2007,2550,4036,1482,321,6831,15220,8389
2008,2875,4039,1416,253,6871,15455,8583
2009,3326,4044,1518,308,5880,15076,9196
2010,3236,4061,1611,324,4496,13727,9231
2011,3282,4074,1590,283,6425,15655,9230
2012,3521,4049,1597,241,6553,15960,9408
2013,3375,4054,1637,247,5895,15208,9314
2014,3448,3056,1568,248,5271,13592,8321
2015,3642,3578,1687,239,7347,16493,9146
2016,3897,3488,1670,253,5700,15008,9308
2017,3607,3515,1652,233,6769,15776,9031
2018,3614,3965,1468,313,5216,14577,9385
2019,4260,3965,1440,292,4519,14476,9981
2020,4120,3966,1697,288,6099,16170,10095
