År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,685,398,447,0,9167,10697,1530
1991,608,398,447,0,6424,7877,1453
1992,530,398,447,0,7674,9049,1375
1993,757,398,488,0,6589,8231,1643
1994,955,398,416,0,6658,8427,1769
1995,1179,398,518,10,7287,9393,2106
1996,1388,398,513,10,4657,6966,2309
1997,1627,398,493,10,7052,9580,2528
1998,1668,398,523,10,6521,9121,2600
1999,1814,398,487,10,7154,9863,2709
2000,1956,398,453,10,7061,9878,2817
2001,2027,1474,414,9,4956,8881,3925
2002,2082,1474,415,8,5740,9719,3979
2003,2360,1474,407,11,5762,10014,4253
2004,2430,1475,400,19,6285,10610,4325
2005,2471,1476,400,17,8123,12488,4364
2006,2851,1476,394,9,6629,11359,4731
2007,3271,1477,387,5,7499,12639,5140
2008,3322,1478,388,4,7088,12281,5192
2009,3736,1481,394,5,6028,11644,5616
2010,3978,1486,395,9,4724,10592,5868
2011,4511,1491,389,9,7643,14044,6400
2012,4604,1485,389,31,6735,13245,6511
2013,4554,1511,391,18,5929,12403,6474
2014,4816,1287,391,15,4594,11103,6509
2015,4766,1335,423,16,7841,14381,6540
2016,4903,1306,451,20,6113,12794,6681
2017,4755,1320,410,2,6465,12952,6488
2018,4611,1467,411,12,5048,11549,6502
2019,5128,1467,399,12,4090,11097,7008
2020,5797,1467,453,16,5376,13109,7734
