År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,209,131,174,11,156,681,525
1991,195,131,174,10,127,638,511
1992,182,131,174,28,149,663,514
1993,256,131,205,29,146,767,621
1994,348,131,156,30,126,791,664
1995,433,131,211,27,152,954,802
1996,541,131,204,33,111,1020,909
1997,690,131,207,38,169,1236,1067
1998,707,131,206,26,149,1219,1070
1999,639,131,179,32,127,1109,982
2000,555,131,131,34,136,988,851
2001,551,169,177,28,122,1047,925
2002,593,167,164,32,124,1080,956
2003,815,165,161,24,130,1294,1164
2004,773,162,150,24,139,1248,1109
2005,918,158,147,25,159,1408,1248
2006,1344,160,140,28,136,1808,1672
2007,1374,155,147,33,142,1851,1709
2008,1277,156,150,110,129,1822,1694
2009,1457,153,139,42,141,1933,1792
2010,1507,154,137,39,113,1951,1837
2011,1612,155,146,279,156,2349,2193
2012,1813,172,143,38,152,2319,2167
2013,1529,174,159,44,130,2036,1906
2014,2068,150,154,46,76,2495,2419
2015,1544,151,173,40,152,2060,1908
2016,1847,144,190,61,92,2334,2242
2017,1504,146,148,68,118,1984,1866
2018,2197,160,157,65,91,2670,2582
2019,1695,167,159,64,98,2183,2088
2020,2211,163,162,67,120,2724,2606
