År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,273,10,0,0,128,412,285
1991,0,10,0,0,127,137,12
1992,253,10,0,0,149,413,265
1993,280,10,81,0,145,516,373
1994,319,10,155,0,109,594,487
1995,442,10,139,0,130,722,593
1996,505,10,202,1,137,854,719
1997,602,10,205,0,153,970,819
1998,785,10,187,1,124,1107,984
1999,810,10,175,0,115,1112,998
2000,822,10,176,2,152,1162,1011
2001,992,26,147,0,113,1279,1167
2002,878,26,168,0,132,1204,1074
2003,1091,26,168,0,133,1419,1287
2004,980,26,184,0,123,1313,1191
2005,1171,27,180,0,143,1522,1380
2006,1399,26,175,0,118,1719,1602
2007,1395,26,182,0,140,1743,1605
2008,1464,26,169,0,110,1770,1661
2009,1763,26,185,0,115,2091,1977
2010,1800,26,172,0,112,2109,1999
2011,1806,26,181,0,127,2140,2015
2012,2149,26,160,10,111,2457,2347
2013,2285,26,177,5,117,2610,2494
2014,2396,25,170,7,124,2722,2599
2015,2433,28,169,4,124,2758,2636
2016,2435,28,182,6,109,2761,2654
2017,2731,29,172,6,139,3076,2939
2018,2574,26,187,6,111,2906,2796
2019,2712,26,185,2,123,3048,2926
2020,3046,26,172,7,160,3412,3253
2021,3260,26,168,11,120,3586,3467
