År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2817,20443,0,2573,37803,63636,26146
1991,0,20099,0,2357,30214,52669,22769
1992,2491,19610,0,1735,33723,57560,24150
1993,3368,18673,13106,1927,32251,69325,37387
1994,4144,18061,10131,2392,34679,69407,35041
1995,5379,18046,13383,2386,35815,75009,39508
1996,6145,17883,13047,2860,24473,64408,40249
1997,6548,17719,12658,2946,32106,71977,40184
1998,7346,17555,13001,2857,31767,72525,41071
1999,7543,17393,11985,2434,35274,74629,39669
2000,9383,17228,11127,2877,38856,79472,40929
2001,8120,19908,10976,2993,30911,72907,42310
2002,7824,19407,9128,2382,30502,69243,39055
2003,8701,19509,10087,1859,29530,69687,40470
2004,9228,19465,10082,2015,31230,72021,41104
2005,9717,19298,10370,1824,33838,75047,41522
2006,10693,19846,11161,1776,31646,75123,43791
2007,13376,19789,11195,1770,35979,82110,46444
2008,14157,19694,11172,1790,36811,83623,47126
2009,15739,19693,11691,1587,32830,81541,49024
2010,15158,19807,11472,2024,26711,75172,48775
2011,17283,19731,11777,1884,34128,84802,50988
2012,18785,20035,11865,1553,33983,86221,52552
2013,17478,20340,12281,1578,31152,82827,51989
2014,18636,16656,12574,1573,36318,85757,49753
2015,19312,18851,13311,1412,37481,90367,53199
2016,19586,18977,13502,1495,31656,85216,53873
2017,19166,19081,14065,1669,33626,87607,54295
2018,18935,20330,12825,1706,34182,87978,54109
2019,20432,20152,13123,1622,31658,86987,55642
2020,21706,20250,13690,1610,39074,96329,57568
2021,20935,20320,12622,1527,29744,85148,55718
