År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,958,183,0,77,381,1598,1223
1991,0,183,0,65,339,587,253
1992,838,183,0,63,411,1494,1089
1993,990,183,454,73,388,2088,1705
1994,1362,183,480,50,310,2385,2081
1995,1721,183,624,51,395,2975,2585
1996,2005,183,664,64,335,3251,2921
1997,2386,183,671,216,441,3898,3462
1998,2699,183,624,181,366,4053,3693
1999,2650,183,589,78,322,3822,3506
2000,2536,183,526,77,400,3722,3328
2001,2243,288,515,65,303,3414,3116
2002,2566,286,564,82,360,3859,3504
2003,3244,283,555,77,350,4509,4165
2004,3080,280,548,92,357,4358,4006
2005,3515,276,539,71,414,4815,4406
2006,4597,278,547,102,334,5858,5530
2007,4567,273,557,100,394,5892,5504
2008,4488,274,550,170,337,5819,5488
2009,5164,271,552,90,351,6429,6083
2010,5268,272,508,81,297,6427,6135
2011,5378,273,566,95,391,6703,6318
2012,6094,275,508,119,354,7350,7001
2013,6041,276,568,111,332,7328,7002
2014,6663,253,562,136,326,7941,7620
2015,6571,264,568,93,374,7869,7501
2016,6357,267,610,126,318,7678,7365
2017,6996,264,555,184,406,8406,8006
2018,7107,272,571,132,329,8411,8087
2019,7374,279,583,118,353,8707,8360
2020,8046,275,565,132,451,9470,9025
2021,8574,294,586,118,334,9905,9577
