År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,326,16,0,9,69,420,353
1991,0,16,0,11,52,80,29
1992,322,16,0,8,65,412,349
1993,423,16,159,13,53,665,614
1994,516,16,171,13,56,773,718
1995,705,16,141,7,61,930,871
1996,782,16,148,7,37,991,956
1997,790,16,153,9,57,1025,970
1998,885,16,224,12,51,1189,1140
1999,891,16,217,14,59,1197,1140
2000,922,16,208,11,63,1219,1158
2001,913,35,165,13,41,1166,1127
2002,793,35,222,16,48,1112,1066
2003,914,35,213,23,47,1233,1187
2004,942,35,224,45,50,1295,1247
2005,942,35,239,35,66,1317,1253
2006,1202,35,236,41,48,1562,1515
2007,1393,35,246,20,64,1757,1695
2008,1404,34,240,39,57,1775,1719
2009,1530,34,223,37,51,1876,1827
2010,1425,34,217,50,37,1764,1729
2011,1571,34,229,61,57,1952,1897
2012,1778,35,220,66,58,2158,2101
2013,1597,34,222,26,48,1927,1881
2014,1716,32,228,20,54,2050,1998
2015,1790,38,175,11,67,2081,2016
2016,1769,38,228,18,55,2107,2054
2017,1819,38,223,15,60,2154,2096
2018,1736,35,206,21,57,2055,1999
2019,1827,35,202,27,46,2138,2093
2020,1911,35,213,18,63,2240,2179
2021,1831,35,221,23,43,2152,2110
2022,1840,35,220,19,53,2168,2116
