År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,7422,25330,0,3542,63245,99539,36649
1991,0,24985,0,3266,52614,80864,28606
1992,6518,24497,0,2498,61502,95015,33868
1993,8126,23560,17304,2876,58257,110122,52221
1994,10692,22947,14287,3094,55076,106096,51376
1995,13653,22932,18756,3088,62405,120834,58785
1996,15781,22770,18853,3582,46515,107500,61340
1997,18010,22605,18403,4408,61809,125235,63782
1998,20300,22441,18223,3559,56360,120884,64879
1999,20201,22279,17113,3109,56669,119371,63057
2000,22275,22115,15920,3662,65721,129691,64326
2001,19711,28574,15086,3670,50710,117751,67396
2002,20951,28023,13297,3324,54209,119805,65952
2003,25354,28127,14283,2773,52409,122945,70892
2004,25058,28068,14269,3011,54851,125258,70763
2005,27744,27974,14384,2579,61769,134450,73037
2006,32719,28539,15281,2546,53746,132830,79440
2007,37134,28449,15455,2677,62497,146212,84071
2008,38648,28361,15503,2681,59120,144313,85548
2009,44112,28347,16007,2427,55927,146820,91248
2010,44336,28477,15750,3267,45987,137817,92186
2011,48620,28430,16088,2866,60150,156154,96360
2012,54300,28718,16140,2497,57679,159335,102011
2013,52691,29078,16622,2760,52911,154063,101507
2014,57530,24279,17092,2601,57563,159065,101858
2015,57569,26865,17883,2411,62379,167106,105083
2016,56691,27010,18138,2608,52718,157163,104802
2017,59962,27085,18611,2894,61053,169605,108909
2018,60256,29006,17766,2870,55995,165893,110253
2019,63379,28846,18142,2781,55107,168256,113504
2020,68643,28935,18623,2851,69447,188499,119408
2021,70838,29057,18034,2616,51992,172538,120902
2022,68580,28915,18228,3307,60620,179651,119387
