År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,685,392,0,0,5951,7028,1078
1991,0,392,0,0,4402,4794,392
1992,530,392,0,0,5306,6228,923
1993,757,392,484,0,4763,6395,1633
1994,955,392,348,0,4684,6379,1695
1995,1179,392,494,0,5243,7308,2066
1996,1388,392,485,0,3405,5669,2265
1997,1627,392,465,0,5002,7486,2484
1998,1668,392,515,0,4490,7065,2576
1999,1814,392,471,0,5024,7701,2677
2000,1956,392,447,0,5376,8171,2795
2001,2024,1469,394,7,3470,7363,3894
2002,2082,1469,389,6,4219,8164,3946
2003,2360,1469,385,10,4004,8228,4225
2004,2430,1470,389,17,4360,8666,4306
2005,2471,1470,353,16,5615,9925,4311
2006,2851,1470,385,7,4409,9123,4714
2007,3271,1472,367,4,5516,10629,5114
2008,3322,1472,371,3,4850,10019,5169
2009,3736,1476,383,5,4446,10045,5600
2010,3978,1480,348,8,3393,9208,5815
2011,4511,1485,385,8,5166,11555,6390
2012,4603,1467,386,31,4812,11299,6488
2013,4554,1492,386,17,4155,10604,6450
2014,4816,1287,391,15,4595,11103,6509
2015,4766,1320,418,16,5279,11799,6521
2016,4903,1320,451,20,4648,11343,6695
2017,4755,1320,410,2,4666,11153,6488
2018,4611,1467,411,12,5048,11549,6502
2019,5128,1467,399,12,4090,11097,7008
2020,5797,1467,453,16,5376,13109,7734
2021,5168,1467,420,26,3963,11044,7082
2022,5631,1467,448,28,4830,12404,7575
