År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,4568,4876,0,969,25402,35815,10455
1991,0,4876,0,909,22366,28151,5827
1992,3998,4876,0,763,27738,37375,9679
1993,4717,4876,4162,950,25970,40674,14746
1994,6496,4876,4143,702,20361,36577,16258
1995,8211,4876,5339,701,26550,45677,19169
1996,9561,4876,5773,722,22013,42945,20973
1997,11375,4876,5707,1462,29671,53090,23461
1998,12862,4876,5186,703,24560,48187,23668
1999,12560,4876,5099,674,21362,44571,23252
2000,12742,4876,4765,784,26830,49997,23209
2001,11409,8622,4086,677,19770,44563,24835
2002,13062,8571,4153,942,23677,50405,26770
2003,16443,8573,4178,914,22850,52958,30150
2004,15605,8559,4164,996,23590,52913,29365
2005,17953,8632,3995,756,27895,59231,31378
2006,21751,8648,4099,770,22073,57341,35310
2007,23564,8616,4240,907,26482,63808,37368
2008,24331,8623,4310,891,22275,60429,38196
2009,28139,8609,4295,840,23066,64949,41925
2010,28892,8624,4257,1243,19248,62265,43060
2011,31121,8654,4291,983,25986,71034,45090
2012,35206,8639,4255,944,23662,72706,49086
2013,34910,8693,4315,1183,21728,70828,49143
2014,38616,7585,4489,1028,21216,72934,51760
2015,37992,7975,4541,999,24861,76368,51549
2016,36817,7994,4597,1113,21028,71549,50563
2017,40514,7965,4517,1226,27391,81613,54264
2018,41082,8632,4845,1163,21780,77503,55764
2019,42709,8649,4887,1159,23419,80823,57446
2020,46605,8641,4947,1241,30333,91768,61477
2021,49703,8692,4810,1090,22174,86469,64337
2022,46803,8676,4917,1670,29681,91748,62109
