År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,243,0,31,75,348,283
1991,0,236,0,26,68,329,272
1992,0,224,0,16,70,311,250
1993,0,203,83,18,77,380,313
1994,0,195,56,45,76,373,306
1995,0,192,78,26,78,374,306
1996,0,190,92,32,66,380,324
1997,0,187,94,52,74,406,343
1998,0,184,82,83,75,425,359
1999,0,181,68,49,79,377,309
2000,0,179,50,40,83,353,280
2001,0,171,50,45,76,343,277
2002,0,162,54,49,73,337,274
2003,0,163,64,59,70,355,295
2004,0,156,53,67,70,346,286
2005,1,157,49,50,71,328,267
2006,0,161,57,45,75,338,273
2007,6,152,51,46,77,331,264
2008,0,140,55,56,80,331,261
2009,0,135,51,61,76,322,257
2010,0,135,52,57,72,316,254
2011,0,124,54,52,75,305,239
2012,0,146,52,59,75,332,267
2013,0,169,53,53,71,347,285
2014,0,150,59,46,77,333,266
2015,0,163,67,22,74,326,261
2016,0,169,72,43,67,351,293
2017,0,157,66,53,71,348,287
2018,0,191,47,44,75,357,292
2019,0,177,57,35,75,344,278
2020,0,184,47,35,80,345,275
2021,0,193,40,30,72,335,272
2022,0,178,40,27,70,316,255
