År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,120,6,0,0,55,180,126
1991,0,6,0,0,52,58,6
1992,126,6,0,0,60,192,132
1993,143,6,36,0,61,247,185
1994,157,6,75,0,45,283,238
1995,229,6,43,0,53,331,278
1996,265,6,80,0,54,405,351
1997,279,6,83,0,66,433,368
1998,345,6,79,0,48,478,430
1999,403,6,77,0,45,532,487
2000,347,6,79,0,66,498,432
2001,444,17,64,0,47,571,524
2002,332,17,74,0,56,479,423
2003,437,17,70,0,56,580,524
2004,367,17,74,0,50,508,457
2005,518,17,77,0,56,668,612
2006,686,17,71,0,48,822,774
2007,667,17,77,0,59,820,761
2008,671,17,68,0,43,799,756
2009,704,17,84,0,46,851,804
2010,764,17,82,0,45,907,863
2011,696,17,80,0,50,842,792
2012,879,17,72,6,44,1016,972
2013,941,17,76,3,45,1082,1037
2014,1024,16,74,3,50,1168,1118
2015,1115,18,74,4,49,1260,1211
2016,1176,18,85,4,43,1325,1282
2017,1284,18,80,4,50,1436,1387
2018,1212,17,90,1,39,1359,1320
2019,1180,17,84,0,46,1328,1282
2020,1275,17,76,3,61,1432,1371
2021,1462,17,74,5,45,1603,1558
2022,1378,17,75,6,59,1534,1476
